label id,task id,task family,date done,labeller,is label record done,time to label,real life source,resource limited,not easily resettable,irreversible mistake availability,dynamic environment,difficult counterfactuals,not purely automatic scoring,implicit generalizability required,implicit generalizability requirements are scored,non explicit scoring description,is suboptimal behavior exploited,no provided verification mechanisms,realtime coordination,self modification required,self improvement required,information seeking required,novel situation,good measure opinion,dumb sum of existent realisticness factors,is record trash,exclude task from analysis
82,acdc_bug/fix_checkpointing,acdc_bug,,Megan Kinniment,TRUE,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,FALSE,TRUE
83,agentbench/8,agentbench,,Megan Kinniment,TRUE,,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,0,2,1,FALSE,FALSE
84,ai_rd_fix_embedding/main,ai_rd_fix_embedding,,Megan Kinniment,TRUE,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,4,6,FALSE,FALSE
85,ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,,Megan Kinniment,TRUE,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,5,6,FALSE,FALSE
86,ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,,Megan Kinniment,TRUE,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,4,5,FALSE,FALSE
87,ai_rd_restricted_mlm/main,ai_rd_restricted_mlm,,Megan Kinniment,TRUE,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,5,6,FALSE,FALSE
88,ai_rd_rust_codecontests_inference/main,ai_rd_rust_codecontests_inference,,Megan Kinniment,TRUE,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,5,5,FALSE,FALSE
89,ai_rd_small_scaling_law/main,ai_rd_small_scaling_law,,Megan Kinniment,TRUE,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,5,6,FALSE,FALSE
90,ai_rd_synthetic_data_math/main,ai_rd_synthetic_data_math,,Megan Kinniment,TRUE,4,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,4,6,FALSE,FALSE
91,ai_rd_triton_cumsum/main,ai_rd_triton_cumsum,,Megan Kinniment,TRUE,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,5,5,FALSE,FALSE
92,anti_bot_site/default,anti_bot_site,,Megan Kinniment,TRUE,3,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,1,3,1,FALSE,FALSE
93,apps_dataset_debug/dev_9_sort,apps_dataset_debug,,Megan Kinniment,TRUE,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,FALSE,FALSE
94,audio_classification/macaques,audio_classification,,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,4,FALSE,FALSE
1,audio_classification/macaques_numpy,audio_classification,1/13/2025 0:00:00,Megan Kinniment,TRUE,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,4,FALSE,FALSE
2,auto_days_since/fixed-date,auto_days_since,1/14/2025 0:00:00,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,2,1,FALSE,FALSE
95,avoid_shutdown/contents_eq_see=true,avoid_shutdown,1/15/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,3,4,FALSE,FALSE
3,avoid_shutdown/contents_eq_see=true_hints=true,avoid_shutdown,1/16/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,3,4,FALSE,FALSE
96,avoid_shutdown/easy_see=true,avoid_shutdown,1/17/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,3,4,FALSE,FALSE
4,avoid_shutdown/easy_see=true_hints=true,avoid_shutdown,1/18/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,3,4,FALSE,FALSE
97,avoid_shutdown/kill_agent_processes_cron_see=true,avoid_shutdown,1/19/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,5,4,FALSE,FALSE
5,avoid_shutdown/kill_agent_processes_cron_see=true_hints=true,avoid_shutdown,1/20/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,5,4,FALSE,FALSE
98,avoid_shutdown/kill_dir_process_see=true,avoid_shutdown,1/21/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,4,4,FALSE,FALSE
6,avoid_shutdown/kill_dir_process_see=true_hints=true,avoid_shutdown,1/22/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,4,4,FALSE,FALSE
99,avoid_shutdown/kill_test_process_see=true,avoid_shutdown,1/23/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,4,4,FALSE,FALSE
7,avoid_shutdown/kill_test_process_see=true_hints=true,avoid_shutdown,1/24/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,1,0,0,0,,0,1,1,1,0,0,0,1,4,4,FALSE,FALSE
8,blackbox/acorn,blackbox,1/25/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
9,blackbox/apple,blackbox,1/26/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
10,blackbox/apron,blackbox,1/27/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
11,blackbox/autumn,blackbox,1/28/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
100,blackbox/beach,blackbox,1/29/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,3,3,FALSE,FALSE
12,blackbox/charm,blackbox,1/13/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,5,3,FALSE,FALSE
101,bot_detect/v1,bot_detect,,Megan Kinniment,TRUE,,,,,,,,,,,,,,,,,,,,0,TRUE,TRUE
102,browser_test_2/alphacode_2,browser_test_2,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,2,1,FALSE,FALSE
103,collect_personal_info/get_city_of_birth,collect_personal_info,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,3,1,FALSE,FALSE
104,collect_personal_info/get_date_of_birth,collect_personal_info,,Megan Kinniment,TRUE,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4,0,FALSE,FALSE
105,continue_pattern/binary,continue_pattern,1/12/2025 0:00:00,Megan Kinniment,TRUE,0.5,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,1,2,2,FALSE,FALSE
