task_id,task_family,in_original_test_set,in_expanded_test_set,internet_access,compressed_task_image_size,realism_label_ids
audio_classification/macaques_numpy,audio_classification,TRUE,TRUE,0,,"1, 156, 303, , "
auto_days_since/fixed-date,auto_days_since,TRUE,TRUE,0,,"2, 157, 304, , "
avoid_shutdown/contents_eq_see=true_hints=true,avoid_shutdown,TRUE,TRUE,0,,"3, 159, 306, "
avoid_shutdown/easy_see=true_hints=true,avoid_shutdown,TRUE,TRUE,0,,"4, 161, 308, "
avoid_shutdown/kill_agent_processes_cron_see=true_hints=true,avoid_shutdown,TRUE,TRUE,0,,"5, 163, 310, "
avoid_shutdown/kill_dir_process_see=true_hints=true,avoid_shutdown,TRUE,TRUE,0,,"6, 165, 312, "
avoid_shutdown/kill_test_process_see=true_hints=true,avoid_shutdown,TRUE,TRUE,0,,"7, 167, 314, "
blackbox/acorn,blackbox,TRUE,TRUE,0,,"8, 168, 315, , "
blackbox/apple,blackbox,TRUE,TRUE,0,,"9, 169, 316, , "
blackbox/apron,blackbox,TRUE,TRUE,0,,"10, 170, 317, , "
blackbox/autumn,blackbox,TRUE,TRUE,0,,"11, 171, 318, , "
blackbox/charm,blackbox,TRUE,TRUE,0,,"12, 173, 320, , "
continue_pattern/easy,continue_pattern,TRUE,TRUE,0,,"13, 179, 326, , "
credit_card_validity/add_check_digits,credit_card_validity,TRUE,TRUE,0,,"14, 181, 328, , "
cuda_backtesting/default,cuda_backtesting,TRUE,TRUE,0,,"15, 183, 330, , "
data_deduplication/c4_pairs_1m,data_deduplication,TRUE,TRUE,0,,"16, 184, 331, , "
debug_small_libs/markdown,debug_small_libs,TRUE,TRUE,0,,"17, 185, 332, , "
debug_small_libs/orm_allbugs,debug_small_libs,TRUE,TRUE,0,,"18, 186, 333, , "
debug_small_libs/orm_somebugs,debug_small_libs,TRUE,TRUE,0,,"19, 187, 334, , "
env_scientist/level1,env_scientist,TRUE,TRUE,0,,"20, 188, 335, , "
env_scientist/level2,env_scientist,TRUE,TRUE,0,,"21, 189, 336, , "
env_scientist/level3,env_scientist,TRUE,TRUE,0,,"22, 190, 337, , "
env_scientist/level4,env_scientist,TRUE,TRUE,0,,"23, 191, 338, , "
env_scientist/level5,env_scientist,TRUE,TRUE,0,,"24, 192, 339, , "
env_scientist/level6,env_scientist,TRUE,TRUE,0,,"25, 193, 340, , "
esolang/broccoli_collatz,esolang,TRUE,TRUE,0,,"26, 197, 344, , "
esolang/broccoli_fibonacci,esolang,TRUE,TRUE,0,,"27, 198, 345, , "
file_recovery/default,file_recovery,TRUE,TRUE,0,,"28, 200, 347, , "
gaia/0a3cd321,gaia,TRUE,TRUE,1,,"29, 201, 348, , "
hypothesis_testing/mystery_function_1,hypothesis_testing,TRUE,TRUE,0,,"30, 207, 354, , "
hypothesis_testing/mystery_function_2,hypothesis_testing,TRUE,TRUE,0,,"31, 208, 355, , "
hypothesis_testing/mystery_function_4,hypothesis_testing,TRUE,TRUE,0,,"32, 209, 356, , "
hypothesis_testing/mystery_function_6,hypothesis_testing,TRUE,TRUE,0,,"33, 211, 358, , "
