alias,human_minutes_bucket,actual_cost,human_cost,cost_ratio
Claude 3 Opus,0-4,14.876066446275,52.7069128351,0.2822412781567493
Claude 3 Opus,1024-4096,5246.2815345,5246.2815345,1.0
Claude 3 Opus,16-256,7281.19858258259,8087.799258,0.900269449118737
Claude 3 Opus,256-1024,25350.73101015625,25457.9481475,0.9957884611625986
Claude 3 Opus,4-16,268.60991496875,510.7130625,0.5259507435620956
Claude 3.5 Sonnet (New),0-4,2.4206032105624997,52.7069128351,0.045925725495167054
Claude 3.5 Sonnet (New),1024-4096,5246.2815345,5246.2815345,1.0
Claude 3.5 Sonnet (New),16-256,5953.239938507812,8087.799258,0.736076619683556
Claude 3.5 Sonnet (New),256-1024,23538.560227984373,25457.9481475,0.9246055531107635
Claude 3.5 Sonnet (New),4-16,179.721228,510.7130625,0.35190254801834053
Claude 3.5 Sonnet (Old),0-4,6.693071714285714,52.7069128351,0.12698660107879595
Claude 3.5 Sonnet (Old),1024-4096,5246.2815345,5246.2815345,1.0
Claude 3.5 Sonnet (Old),16-256,6534.167175449537,8087.799258,0.8079042230167006
Claude 3.5 Sonnet (Old),256-1024,23978.540913,25457.9481475,0.9418881982975019
Claude 3.5 Sonnet (Old),4-16,204.384403796875,510.7130625,0.4001941967107509
Claude 3.7 Sonnet,0-4,1.08348,52.7069128351,0.020556696298828947
Claude 3.7 Sonnet,1024-4096,5246.2815345,5246.2815345,1.0
Claude 3.7 Sonnet,16-256,5168.836751170626,8087.799258,0.639090633469655
Claude 3.7 Sonnet,256-1024,23906.64010303125,25457.9481475,0.9390639011643565
Claude 3.7 Sonnet,4-16,84.8480265,510.7130625,0.16613639385814613
GPT-2,0-4,46.93237255337,52.7069128351,0.8904405518912415
GPT-2,1024-4096,2584.98,2584.98,1.0
GPT-2,16-256,5775.3599225,5775.3599225,1.0
GPT-2,256-1024,17727.113086,17727.113086,1.0
GPT-2,4-16,470.844533,470.844533,1.0
GPT-4 0125,0-4,24.50114765625,52.7069128351,0.46485643606000654
GPT-4 0125,1024-4096,5246.2815345,5246.2815345,1.0
GPT-4 0125,16-256,7624.38836343776,8087.799258,0.9427024732217655
GPT-4 0125,256-1024,25316.98819953125,25457.9481475,0.9944630279254225
GPT-4 0125,4-16,311.5985010625,510.7130625,0.6101244004552948
GPT-4 0314,0-4,104.17336908775034,52.7069128351,1.976465011594768
GPT-4 0314,1024-4096,5246.2815345,5246.2815345,1.0
GPT-4 0314,16-256,7627.0904661312925,8087.799258,0.9430365693840633
GPT-4 0314,256-1024,25457.9481475,25457.9481475,1.0
GPT-4 0314,4-16,569.557650095238,510.7130625,1.1152204474802092
GPT-4 1106,0-4,34.745256225975,52.7069128351,0.6592163030811493
GPT-4 1106,1024-4096,5246.2815345,5246.2815345,1.0
GPT-4 1106,16-256,7047.038024957748,8087.799258,0.8713171284496474
GPT-4 1106,256-1024,25316.9149546875,25457.9481475,0.9944601508340197
GPT-4 1106,4-16,276.27074796875,510.7130625,0.5409510119368643
GPT-4 Turbo,0-4,14.65842834375,52.7069128351,0.2781120645333693
GPT-4 Turbo,1024-4096,5246.2815345,5246.2815345,1.0
GPT-4 Turbo,16-256,7530.492386377551,8087.799258,0.9310928901862652
GPT-4 Turbo,256-1024,25457.9481475,25457.9481475,1.0
GPT-4 Turbo,4-16,273.86534656313773,510.7130625,0.5362411237780662
GPT-4o,0-4,12.203362742237756,52.7069128351,0.23153248949369248
GPT-4o,1024-4096,5246.2815345,5246.2815345,1.0
GPT-4o,16-256,6894.766511856106,8087.799258,0.8524898173055158
GPT-4o,256-1024,25457.9481475,25457.9481475,1.0
GPT-4o,4-16,224.1417938112245,510.7130625,0.438880087997014
davinci-002 (GPT-3),0-4,42.9329507719125,52.7069128351,0.8145601489928554
davinci-002 (GPT-3),1024-4096,2584.98,2584.98,1.0
davinci-002 (GPT-3),16-256,5775.3599225,5775.3599225,1.0
davinci-002 (GPT-3),256-1024,17727.113086,17727.113086,1.0
davinci-002 (GPT-3),4-16,470.844533,470.844533,1.0
gpt-3.5-turbo-instruct,0-4,34.72528318795511,52.7069128351,0.6588373577598329
gpt-3.5-turbo-instruct,1024-4096,2584.98,2584.98,1.0
gpt-3.5-turbo-instruct,16-256,7754.0352570000005,7754.0352570000005,1.0
gpt-3.5-turbo-instruct,256-1024,17158.7070995,17158.7070995,1.0
gpt-3.5-turbo-instruct,4-16,492.18002845124715,510.7130625,0.9637114548078495
o1,0-4,9.9742925563375,52.7069128351,0.18924069006931388
o1,1024-4096,5246.2815345,5246.2815345,1.0
o1,16-256,5331.827255337136,8087.799258,0.6592432731392524
o1,256-1024,23196.521562640624,25457.9481475,0.9111701158413488
o1,4-16,252.11801852640778,510.7130625,0.4936588410178128
o1-preview,0-4,28.837595390624998,52.7069128351,0.5471311795636168
o1-preview,1024-4096,5246.2815345,5246.2815345,1.0
o1-preview,16-256,6331.311728182185,7999.9123315,0.7914226388772252
o1-preview,256-1024,25004.15006844866,25457.9481475,0.982174601172801
o1-preview,4-16,324.4123847645621,510.7130625,0.6352145824830202
