alias,actual_cost,human_cost,cost_ratio,avg_duration_all,avg_duration_successful
Claude 3 Opus,38161.69710865386,39355.4489153351,0.9696674326025516,12.44,1.78
Claude 3.5 Sonnet (New),34920.22353220275,39355.4489153351,0.887303397486996,13.21,1.69
Claude 3.5 Sonnet (Old),35970.0670984607,39355.4489153351,0.9139793367836475,14.56,1.98
Claude 3.7 Sonnet,34407.689895201875,39355.4489153351,0.8742802037202706,11.07,3.35
GPT-2,26605.229914053372,26611.0044543351,0.9997830017919227,,
GPT-4 0125,38523.75774618776,39355.4489153351,0.9788671914037482,7.05,0.54
GPT-4 0314,39005.05116731428,39355.4489153351,0.9910965887144465,19.98,3.79
GPT-4 1106,37921.25051833998,39355.4489153351,0.9635578188910893,12.0,1.67
GPT-4 Turbo,38523.245843284436,39355.4489153351,0.9788541842365723,6.77,0.23
GPT-4o,37835.341350409566,39355.4489153351,0.9613749148638674,9.38,0.26
davinci-002 (GPT-3),26601.230492271912,26611.0044543351,0.9996327097656175,184.98,
gpt-3.5-turbo-instruct,28024.6276681392,28061.1423318351,0.9986987463566487,2.12,
o1,34036.722663560504,39355.4489153351,0.8648541333319127,22.17,7.26
o1-preview,36934.99331128603,39267.5619888351,0.940598077410248,35.8,8.61
